id,Title,description,cause,url
RFT-001,Known Spoil Contamination unexpected volumes,"There is a risk that that the Classified Spoil Contamination volumes may be in excess of most likely estimations
exclu Asbestos  PfAS
Hydrocarbons and other contaminants","1. Type A, B, C 
4. Land Side Earthworks or existing building structures
5. Air Side Earthworks or existing building structures
6. Reinforced concrete waste
",
RFT-100,ABC Approval & Review Delays,"Delays in obtaining Building Permits, Works Permits, or Certificates of Compliance (BACC/WACC) from the Airport Building Controller (ABC).",ABC resource and workload constraints and a mandated 90-business-day processing period for permit applications once lodged in the ABCO platform.,
RFT-102,Sunbury Road Intersection,Risk of additional upgrades  remediation to Sunbury Rd to remediate damage from construction traffic movements,1. additional traffic  truck movements,
RFT-104,Oil Fuel Spills ,Risk of needing to dispose of spoil offsite as a result of oil  fuel spills - and that this spoil is also Cat B  Cat C contaminated  costs additional to dispose of at correct facility,"1. Collision of plant  equipemnt
2. Re-fueling incident
",
RFT-105,Asbestos Finds - Conduits and Telecommunications,Risk of additional unexpected finds of asbestos in utilties requiring additional management over  above assumptions,1. additional contamination over & above assumptions,
RFT-106,Design Fee Growth,Risk of growth in Principal Design Design Fee,"1. design interface issues leading to variations
2. missed scope
3. Scope gaps 
4. Unexpected change
5. Requests for additional information",
RFT-107,Sewer Disposal,Risk that APAM  Federal Approvals are not received for sewer treatment facility at North  South Site Compound locations,1. Approvals not received,
RFT-108,Batch Plant,Risk of protracted set up / operational breakdown of Batch Plant ,1. issues discovered during set up  operation,
RFT-011,Pavement productivities - Shoulder Median,There is a risk that Pavement laying Productivity may be impacted by Lighting cable runs and lighting Deep lower and upper can horizintal and vertical pavement  positioning accuracy requirements.,"1. Interface with utilities
2. Accuracy & QA limits of accuracy",
RFT-110,Plant Workshop Activities,High risk work area with maintenance of large plant and equipment including heavy lifting temportary works plantpeople interactions dangerous chemicals stored energy.,Maintenance of earthworks and pavement plant and equipment on site,
RFT-111,Interface of People  Heavy Construction Plan  Light Vehicles,Risk of HVLV and HVPeople incidents,- plant people and HVLV plant interactions - large volumes of heavy plant,
RFT-112,Heavy Lifting,Requirement for heavy lifting activities of materials for bridge construction drainage pipe installation and ALER buildings,"Poor ground conditions under lifting equipment resulting in overturning of equipment.
Inadequete plant and equipment chosen for lift resulting in overturning of equipme",
RFT-113,Electrical Works,Risk of critical incident during electrical works and isolations including testing and commissioning,Incorrect working near live elctrical services process followed.,
RFT-012,APAM Nominated Sub-Contractors,There is a risk of delay in being able to secure APAM nominated sub-contractors - full or partial crews - in accordance with programme assumptions,"1. limited mark availability
2. competing priorities - O&M activities & other capital works",
RFT-013,"Unknown Utilities - Airside 
",There is a risk that Risk of strike of critical service AGL  ASA  HV  Telstra for Control Tower - resulting in shutdown impacts to Airport Operations,"1. unknown utilities
2. utilities in a different as built location to survey information",
RFT-015,"Service Isolations - Integration and Commissionin
",There is a risk that isolations / outages required for integration are delayed or cancelled for tie-ins  (AGL / MAT99 access - HV Sub-Station Tie In / Comms),1. cancelled or delayed outages for tie in of services,
RFT-016,"Interface with other OM actitivities across APAM site - AIRSIDE

",Risk that there are interface issues with Operations  Maintenance issues resulting in productivity impacts ,"1. Interface & coordination issues
2. Competing priorities",
RFT-017,Existing Drainage Asset Capacity ,There is a risk that there is a requirement for upgrades and increase in capacity to existing drainage as a result of exitsing asset condition  capacity,"1. Existing asset condition
",
RFT-002,"Utility Strike - Minor Utility
",There is a risk of a utility clash strike that may damage utility services,"1. utilty in diffettent location to data received
2. additional utility  unknown",
RFT-021,Interface with other capital works projects across APAM site,Risk that there are interface issues resulting in productivity impacts in particular ALER 2 decommissioning and ALER 3 commissioning,"1. Interface & coordination issues
2. Competing priorities",
RFT-022,ASA - Navigational Aids Design Interface,Risk of delay in acceptance of ASA Civil works - navigational aids - final completion,"1. Interface & coordination issues
2. integration issues",
RFT-023,Cut  Slope Stabilisation,Risk that additional cut  slope stabilisation is required as a result of geotechnical conditions  temporary works design,"1. geotechnical conditions vary from assumptions
2. temporary works design requirements increase over & above assumptions",
RFT-024,Underbore / Pipejacking beneath existing airport assets ,Risk of damage to existing runwaytaxiway surfaces due to settlement / vibration / unforseen ground conditions / existing asset condition,"1. vibration during no. 6 underbores under existing runway  taxi way
2. existing asset condition",
